Tid;item1;item2;item3;item4;item5;item6
'00:00.00000';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.01664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.03328';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.04993';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.06657';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.08333';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.10008';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.11663';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.13333';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.15003';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.16673';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.18330';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.19998';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.21667';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.23336';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.25005';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.26663';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.28321';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.29996';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.31672';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.33334';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.34996';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.36658';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.38333';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.39995';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.41657';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.43333';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.44998';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.46664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.48330';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.49995';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.51661';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.53326';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.54992';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.56657';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.58323';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.59988';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.61654';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.63320';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.64997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.66658';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.68320';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.70000';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.71664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.73328';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.74993';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.76657';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.78322';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.79997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.81662';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.83326';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.84991';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.86655';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.88320';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.89998';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.91660';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.93321';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.94995';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.96670';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.98330';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:00.99990';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.01662';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.03334';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.05006';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.06661';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.08329';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.09998';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.11667';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.13336';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.15005';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.16658';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.18331';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.19993';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.21655';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.23333';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.24998';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.26664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.28330';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.29995';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.31661';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.33326';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.34992';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.36657';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.38323';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.39988';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.41654';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.43331';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.44997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.46664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.48331';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.49997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.51664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.53331';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.54997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.56664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.58331';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.59997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.61664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.63331';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.64997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.66664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.68331';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.69997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.71664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.73331';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.74997';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
'00:01.76664';[1093,944,60,45];[1159,944,60,45];[];[];[];[]
