Tid;item1;item2;item3;item4;item5;item6
'00:00.00000';[];[];[];[];[];[]
'00:00.01597';[];[];[];[];[];[]
'00:00.03295';[];[];[];[];[];[]
'00:00.04993';[];[];[];[];[];[]
'00:00.06553';[];[];[];[];[];[]
'00:00.08248';[];[];[];[];[];[]
'00:00.09944';[];[];[];[];[];[]
'00:00.11543';[];[];[];[];[];[]
'00:00.13241';[];[];[];[];[];[]
'00:00.14938';[];[];[];[];[];[]
'00:00.16538';[];[];[];[];[];[]
'00:00.18226';[];[];[];[];[];[]
'00:00.20032';[];[];[];[];[];[]
'00:00.21621';[];[];[];[];[];[]
'00:00.23315';[];[];[];[];[];[]
'00:00.25010';[];[];[];[];[];[]
'00:00.26611';[];[];[];[];[];[]
'00:00.28315';[];[];[];[];[];[]
'00:00.29998';[];[];[];[];[];[]
'00:00.31592';[];[];[];[];[];[]
'00:00.33291';[];[];[];[];[];[]
'00:00.34990';[];[];[];[];[];[]
'00:00.36594';[];[];[];[];[];[]
'00:00.38273';[];[];[];[];[];[]
'00:00.39970';[];[];[];[];[];[]
'00:00.41666';[];[];[];[];[];[]
'00:00.43242';[];[];[];[];[];[]
'00:00.44953';[];[];[];[];[];[]
'00:00.46572';[];[];[];[];[];[]
'00:00.48213';[];[];[];[];[];[]
'00:00.50005';[];[];[];[];[];[]
'00:00.51608';[];[];[];[];[];[]
'00:00.53307';[];[];[];[];[];[]
'00:00.54994';[];[];[];[];[];[]
'00:00.56597';[];[];[];[];[];[]
'00:00.58236';[];[];[];[];[];[]
'00:00.59973';[];[];[];[];[];[]
'00:00.61531';[];[];[];[];[];[]
'00:00.63326';[];[];[];[];[];[]
'00:00.65020';[];[];[];[];[];[]
'00:00.66642';[];[];[];[];[];[]
'00:00.68310';[];[];[];[];[];[]
'00:00.70008';[];[];[];[];[];[]
'00:00.71607';[];[];[];[];[];[]
'00:00.73298';[];[];[];[];[];[]
'00:00.75006';[];[];[];[];[];[]
'00:00.76607';[];[];[];[];[];[]
'00:00.78290';[];[];[];[];[];[]
'00:00.79985';[];[];[];[];[];[]
'00:00.81581';[];[];[];[];[];[]
'00:00.83290';[];[];[];[];[];[]
'00:00.84973';[];[];[];[];[];[]
'00:00.86560';[];[];[];[];[];[]
'00:00.88257';[];[];[];[];[];[]
'00:00.89955';[];[];[];[];[];[]
'00:00.91562';[];[];[];[];[];[]
'00:00.93247';[];[];[];[];[];[]
'00:00.94933';[];[];[];[];[];[]
'00:00.96618';[];[];[];[];[];[]
'00:00.98253';[];[];[];[];[];[]
'00:00.99926';[];[];[];[];[];[]
