Tid;item1;item2;item3;item4;item5;item6
'00:00.00000';[];[];[];[];[];[]
'00:00.01454';[];[];[];[];[];[]
'00:00.03248';[];[];[];[];[];[]
'00:00.04945';[];[];[];[];[];[]
'00:00.06542';[];[];[];[];[];[]
'00:00.08260';[];[];[];[];[];[]
'00:00.09930';[];[];[];[];[];[]
'00:00.11551';[];[];[];[];[];[]
'00:00.13232';[];[];[];[];[];[]
'00:00.14913';[];[];[];[];[];[]
'00:00.16511';[];[];[];[];[];[]
'00:00.18207';[];[];[];[];[];[]
'00:00.19904';[];[];[];[];[];[]
'00:00.21522';[];[];[];[];[];[]
'00:00.23192';[];[];[];[];[];[]
'00:00.24892';[];[];[];[];[];[]
'00:00.26527';[];[];[];[];[];[]
'00:00.28206';[];[];[];[];[];[]
'00:00.29874';[];[];[];[];[];[]
'00:00.31571';[];[];[];[];[];[]
'00:00.33267';[];[];[];[];[];[]
'00:00.34964';[];[];[];[];[];[]
'00:00.36561';[];[];[];[];[];[]
'00:00.38271';[];[];[];[];[];[]
'00:00.39948';[];[];[];[];[];[]
'00:00.41544';[];[];[];[];[];[]
'00:00.43250';[];[];[];[];[];[]
'00:00.44942';[];[];[];[];[];[]
'00:00.46546';[];[];[];[];[];[]
'00:00.48242';[];[];[];[];[];[]
'00:00.49937';[];[];[];[];[];[]
'00:00.51522';[];[];[];[];[];[]
'00:00.53213';[];[];[];[];[];[]
'00:00.54904';[];[];[];[];[];[]
'00:00.56527';[];[];[];[];[];[]
'00:00.58206';[];[];[];[];[];[]
'00:00.59885';[];[];[];[];[];[]
'00:00.61492';[];[];[];[];[];[]
'00:00.63205';[];[];[];[];[];[]
'00:00.64887';[];[];[];[];[];[]
'00:00.66477';[];[];[];[];[];[]
'00:00.68275';[];[];[];[];[];[]
'00:00.69982';[];[];[];[];[];[]
'00:00.71566';[];[];[];[];[];[]
'00:00.73262';[];[];[];[];[];[]
'00:00.74957';[];[];[];[];[];[]
'00:00.76558';[];[];[];[];[];[]
'00:00.78262';[];[];[];[];[];[]
'00:00.79946';[];[];[];[];[];[]
'00:00.81541';[];[];[];[];[];[]
'00:00.83196';[];[];[];[];[];[]
'00:00.84886';[];[];[];[];[];[]
'00:00.86503';[];[];[];[];[];[]
'00:00.88177';[];[];[];[];[];[]
